Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
Algorithms for Battery Management Systems,University of Colorado Boulder,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,4.7,21,24997,English,Intermediate,Specialization,3 - 6 Months,0,0,0,1,0,0
Connected Leadership,Yale University,https://www.coursera.org/learn/connected-leadership,4.8,22,91436,English,Beginner,Course,1 - 3 Months,1,0,0,4,0,5
Java Programming and Software Engineering Fundamentals,Duke University,https://www.coursera.org/specializations/java-programming,4.6,24,319561,English,Beginner,Specialization,3 - 6 Months,4,8,2,24,0,0
Sustainability for Business: ESG Fundamentals,IMD - International Institute for Management Development,https://www.coursera.org/learn/esg,4.8,0,0,English,Beginner,Course,1 - 3 Months,4,0,1,9,0,11
Forensic Accounting and Fraud Examination,West Virginia University,https://www.coursera.org/learn/forensic-accounting,4.7,22,155047,English,Mixed,Course,1 - 3 Months,1,0,0,1,0,6
Real Estate Development: Building Value in Your Community,University of Michigan,https://www.coursera.org/learn/real-estate-development-building-value-in-your-community,4.8,0,1759,English,Beginner,Course,1 - 3 Months,4,1,0,17,0,18
Data Visualization with Tableau,"University of California, Davis",https://www.coursera.org/specializations/data-visualization,4.5,22,163345,English,Beginner,Specialization,3 - 6 Months,1,0,0,4,0,0
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,4.7,22,359019,English,Beginner,Course,1 - 4 Weeks,1,0,1,11,0,5
Principles of Management,Johns Hopkins University,https://www.coursera.org/learn/principles-of-management,4.7,22,56643,English,Mixed,Course,1 - 4 Weeks,3,3,0,6,0,4
Microsoft Full-Stack Developer,Microsoft,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,4.6,0,2207,English,Beginner,Professional Certificate,3 - 6 Months,3,0,0,22,0,0
Omnichannel Retail Strategy,University of Pennsylvania,https://www.coursera.org/specializations/wharton-retail-strategy,4.7,21,7326,English,Beginner,Specialization,1 - 3 Months,7,3,2,25,0,0
Financial Technology (Fintech) Innovations,University of Michigan,https://www.coursera.org/specializations/financialtechnology,4.7,22,36814,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
