Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
Google Data Analytics,Google,https://www.coursera.org/professional-certificates/google-data-analytics,4.8,11,2468706,English,Beginner,Professional Certificate,3 - 6 Months,9,3,1,25,0,0
Google Cybersecurity,Google,https://www.coursera.org/professional-certificates/google-cybersecurity,4.8,11,759433,English,Beginner,Professional Certificate,3 - 6 Months,6,6,0,13,0,0
Google Project Management:,Google,https://www.coursera.org/professional-certificates/google-project-management,4.8,11,1807675,English,Beginner,Professional Certificate,3 - 6 Months,1,2,1,24,0,0
Google Digital Marketing & E-commerce,Google,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,4.8,11,831347,English,Beginner,Professional Certificate,3 - 6 Months,3,0,1,19,0,0
Google IT Support,Google,https://www.coursera.org/professional-certificates/google-it-support,4.8,11,1695991,English,Beginner,Professional Certificate,3 - 6 Months,2,6,2,19,0,0
Google UX Design,Google,https://www.coursera.org/professional-certificates/google-ux-design,4.8,11,1105689,English,Beginner,Professional Certificate,3 - 6 Months,1,1,0,11,0,0
Machine Learning,"DeepLearning.AI, Stanford University",https://www.coursera.org/specializations/machine-learning-introduction,4.9,21,533425,English,Beginner,Specialization,1 - 3 Months,6,2,2,17,0,0
Deep Learning,DeepLearning.AI,https://www.coursera.org/specializations/deep-learning,4.8,22,889704,English,Intermediate,Specialization,3 - 6 Months,11,3,4,24,0,0
Google AI Essentials,Google,https://www.coursera.org/learn/google-ai-essentials,4.7,11,897465,English,Beginner,Course,1 - 3 Months,1,0,1,1,0,12
IBM Data Science,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,4.6,24,657138,English,Beginner,Professional Certificate,3 - 6 Months,13,6,1,25,0,0
IBM Data Analyst,IBM,https://www.coursera.org/professional-certificates/ibm-data-analyst,4.6,24,322536,English,Beginner,Professional Certificate,3 - 6 Months,12,6,1,30,0,0
IBM Generative AI Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,4.6,24,2331,English,Beginner,Professional Certificate,3 - 6 Months,13,3,2,27,0,0
IBM AI Developer,IBM,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,4.6,24,137573,English,Beginner,Professional Certificate,3 - 6 Months,10,9,1,35,0,0
AI in Healthcare,Stanford University,https://www.coursera.org/specializations/ai-healthcare,4.7,22,42540,English,Beginner,Specialization,3 - 6 Months,5,0,1,5,0,0
IBM Full Stack Software Developer,IBM,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.6,25,187931,English,Beginner,Professional Certificate,3 - 6 Months,6,12,0,40,0,0
Data Science Foundations,"IBM, University of London, IBM",https://www.coursera.org/specializations/data-science-foundations,4.6,24,0,English,Beginner,Specialization,3 - 6 Months,9,4,0,14,0,0
Google Advanced Data Analytics,Google,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,4.7,11,145507,English,Advanced,Professional Certificate,3 - 6 Months,8,2,1,14,0,0
Google Prompting Essentials,Google,https://www.coursera.org/learn/google-prompting-essentials,4.7,0,13088,English,Beginner,Course,1 - 4 Weeks,7,0,0,11,0,12
Microsoft Power BI Data Analyst,Microsoft,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,4.6,22,220840,English,Beginner,Professional Certificate,3 - 6 Months,5,9,0,31,0,0
IBM DevOps and Software Engineering,IBM,https://www.coursera.org/professional-certificates/devops-and-software-engineering,4.6,25,82273,English,Beginner,Professional Certificate,3 - 6 Months,1,0,0,12,0,0
Foundations of Project Management,Google,https://www.coursera.org/learn/project-management-foundations,4.9,11,2149345,English,Beginner,Course,1 - 4 Weeks,5,0,0,8,4,11
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,4.8,23,1531067,English,Beginner,Course,1 - 4 Weeks,6,1,0,8,0,4
"Foundations: Data, Data, Everywhere",Google,https://www.coursera.org/learn/foundations-data,4.8,11,2929734,English,Beginner,Course,1 - 4 Weeks,9,5,2,18,8,9
Data Science Fundamentals with Python and SQL,IBM,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,4.6,24,55846,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
IBM Back-End Development,IBM,https://www.coursera.org/professional-certificates/ibm-backend-development,4.6,24,21150,English,Beginner,Professional Certificate,3 - 6 Months,6,10,0,28,0,0
IBM Data Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-data-engineer,4.6,24,101323,English,Beginner,Professional Certificate,3 - 6 Months,11,8,0,32,0,0
Business Foundations,University of Pennsylvania,https://www.coursera.org/specializations/wharton-business-foundations,4.7,22,268190,English,Beginner,Specialization,3 - 6 Months,3,0,1,37,0,0
Foundations of Cybersecurity,Google,https://www.coursera.org/learn/foundations-of-cybersecurity,4.8,11,993872,English,Beginner,Course,1 - 4 Weeks,3,3,0,5,5,8
Introduction to Data Science,IBM,https://www.coursera.org/specializations/introduction-data-science,4.6,24,92413,English,Beginner,Specialization,3 - 6 Months,11,5,0,16,0,0
Applied Software Engineering Fundamentals,IBM,https://www.coursera.org/specializations/software-engineering-fundamentals,4.6,24,9664,English,Beginner,Specialization,3 - 6 Months,5,5,0,17,0,0
Meta Front-End Developer,Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer,4.7,22,330579,English,Beginner,Professional Certificate,3 - 6 Months,3,10,1,23,0,0
Applied Data Science,IBM,https://www.coursera.org/specializations/applied-data-science,4.6,24,67388,English,Beginner,Specialization,3 - 6 Months,8,3,1,13,0,0
Supervised Machine Learning: Regression and Classification ,DeepLearning.AI,https://www.coursera.org/learn/machine-learning,4.9,21,798487,English,Beginner,Course,1 - 4 Weeks,3,2,2,10,0,9
Google IT Automation with Python,Google,https://www.coursera.org/professional-certificates/google-it-automation,4.7,11,742554,English,Beginner,Professional Certificate,3 - 6 Months,4,4,1,9,0,0
IBM Data Analytics with Excel and R,IBM,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,4.7,24,49272,English,Beginner,Professional Certificate,3 - 6 Months,11,3,0,34,0,0
IBM AI Product Manager,IBM,https://www.coursera.org/professional-certificates/ibm-ai-product-manager,4.7,24,15151,English,Beginner,Professional Certificate,3 - 6 Months,7,2,1,21,0,0
Data Analysis and Visualization Foundations,IBM,https://www.coursera.org/specializations/data-analysis-visualization-foundations,4.7,24,35854,English,Beginner,Specialization,3 - 6 Months,10,2,0,18,0,0
Data Engineering Foundations,IBM,https://www.coursera.org/specializations/data-engineering-foundations,4.6,24,15887,English,Beginner,Specialization,3 - 6 Months,9,6,0,18,0,0
Meta Social Media Marketing,Meta,https://www.coursera.org/professional-certificates/facebook-social-media-marketing,4.8,22,434240,English,Beginner,Professional Certificate,3 - 6 Months,4,0,1,22,0,0
Key Technologies for Business,IBM,https://www.coursera.org/specializations/key-technologies-for-business,4.7,25,20760,English,Beginner,Specialization,3 - 6 Months,10,4,1,24,0,0
IBM & Darden Digital Strategy,IBM,https://www.coursera.org/specializations/digital-strategy,4.7,25,6629,English,Beginner,Specialization,3 - 6 Months,15,6,1,46,0,0
Introduction to Finance and Accounting,University of Pennsylvania,https://www.coursera.org/specializations/finance-accounting,4.6,22,73734,English,Beginner,Specialization,3 - 6 Months,3,0,3,22,0,0
Generative AI for Software Development,DeepLearning.AI,https://www.coursera.org/professional-certificates/generative-ai-for-software-development,4.6,0,14554,English,Beginner,Professional Certificate,1 - 3 Months,2,1,0,2,0,0
Foundations of Digital Marketing and E-commerce,Google,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,4.8,11,1122158,English,Beginner,Course,1 - 4 Weeks,3,0,0,6,7,9
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,4.5,22,46082,English,Beginner,Specialization,3 - 6 Months,5,2,3,28,0,0
DeepLearning.AI Data Engineering,"DeepLearning.AI, Amazon Web Services",https://www.coursera.org/professional-certificates/data-engineering,4.8,0,11733,English,Intermediate,Professional Certificate,3 - 6 Months,2,1,0,2,0,0
Python for Everybody,University of Michigan,https://www.coursera.org/specializations/python,4.8,24,1714797,English,Beginner,Specialization,3 - 6 Months,8,7,4,26,0,0
IBM Full-Stack JavaScript Developer,IBM,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,4.6,24,14517,English,Beginner,Professional Certificate,3 - 6 Months,4,11,0,28,0,0
Generative AI with Large Language Models,DeepLearning.AI,https://www.coursera.org/learn/generative-ai-with-llms,4.8,21,321518,English,Intermediate,Course,1 - 4 Weeks,4,1,0,3,0,3
AI For Business,University of Pennsylvania,https://www.coursera.org/specializations/ai-for-business-wharton,4.7,21,33628,English,Beginner,Specialization,3 - 6 Months,8,1,1,25,0,0
IBM AI Foundations for Business,IBM,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,4.7,22,20077,English,Beginner,Specialization,1 - 3 Months,10,4,1,26,0,0
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,4.8,11,1897037,English,Beginner,Course,1 - 3 Months,1,2,0,5,15,4
IBM Back-end JavaScript Developer,IBM,https://www.coursera.org/professional-certificates/backend-javascript-developer,4.6,24,5187,English,Beginner,Professional Certificate,3 - 6 Months,4,10,0,26,0,0
Intuit Academy Bookkeeping,Intuit,https://www.coursera.org/professional-certificates/intuit-bookkeeping,4.6,24,188623,English,Beginner,Professional Certificate,3 - 6 Months,3,0,0,15,0,0
IBM Data Management,IBM,https://www.coursera.org/professional-certificates/ibm-data-manager,4.7,24,1585,English,Beginner,Professional Certificate,3 - 6 Months,9,4,1,32,0,0
IBM IT Project Manager,IBM,https://www.coursera.org/professional-certificates/ibm-it-project-manager,4.7,24,26348,English,Beginner,Professional Certificate,3 - 6 Months,5,7,0,22,0,0
IBM Front-End Developer,IBM,https://www.coursera.org/professional-certificates/ibm-frontend-developer,4.6,24,22031,English,Beginner,Professional Certificate,3 - 6 Months,4,9,1,34,0,0
AI Foundations for Everyone,IBM,https://www.coursera.org/specializations/ai-foundations-for-everyone,4.7,24,37258,English,Beginner,Specialization,3 - 6 Months,8,5,1,16,0,0
IBM iOS and Android Mobile App Developer,IBM,https://www.coursera.org/professional-certificates/ibm-ios-android-mobile-app-developer-pc,4.6,24,3421,English,Beginner,Professional Certificate,3 - 6 Months,3,7,0,20,0,0
IBM and ISC2 Cybersecurity Specialist,"IBM, ISC2",https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,4.7,25,11966,English,Beginner,Professional Certificate,3 - 6 Months,4,7,0,23,0,0
Mathematics for Machine Learning and Data Science,DeepLearning.AI,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,4.6,22,93154,English,Intermediate,Specialization,1 - 3 Months,4,1,5,13,0,0
IBM Business Intelligence (BI) Analyst,IBM,https://www.coursera.org/professional-certificates/bi-analyst,4.7,24,20395,English,Beginner,Professional Certificate,3 - 6 Months,10,3,2,34,0,0
Business and Financial Modeling,University of Pennsylvania,https://www.coursera.org/specializations/wharton-business-financial-modeling,4.5,22,92794,English,Beginner,Specialization,3 - 6 Months,5,2,4,30,0,0
Play It Safe: Manage Security Risks,Google,https://www.coursera.org/learn/manage-security-risks,4.8,11,410719,English,Beginner,Course,1 - 4 Weeks,1,1,0,4,15,0
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,4.8,22,2071773,English,Beginner,Course,1 - 3 Months,1,0,1,9,0,25
Project Initiation: Starting a Successful Project,Google,https://www.coursera.org/learn/project-initiation-google,4.8,11,791550,English,Beginner,Course,1 - 4 Weeks,1,0,0,6,7,10
Meta React Native,Meta,https://www.coursera.org/specializations/meta-react-native,4.6,20,26204,English,Beginner,Specialization,3 - 6 Months,4,10,0,26,0,0
Ask Questions to Make Data-Driven Decisions,Google,https://www.coursera.org/learn/ask-questions-make-decisions,4.7,11,1157517,English,Beginner,Course,1 - 4 Weeks,4,0,1,5,22,2
SAP Technology Consultant,SAP,https://www.coursera.org/professional-certificates/sap-technology-consultant,4.7,22,59781,English,Beginner,Professional Certificate,3 - 6 Months,1,2,0,21,0,0
IBM IT Scrum Master,IBM,https://www.coursera.org/professional-certificates/ibm-it-scrum-master,4.8,24,10859,English,Beginner,Professional Certificate,3 - 6 Months,5,7,0,23,0,0
Generative AI for Everyone,DeepLearning.AI,https://www.coursera.org/learn/generative-ai-for-everyone,4.8,23,424015,English,Beginner,Course,1 - 4 Weeks,1,0,0,1,0,6
Introduction to Generative AI Learning Path,Google Cloud,https://www.coursera.org/specializations/introduction-to-generative-ai,4.6,21,28540,English,Intermediate,Specialization,1 - 3 Months,4,0,0,3,0,0
Generative AI Automation,Vanderbilt University,https://www.coursera.org/specializations/generative-ai-automation,4.8,23,6659,English,Beginner,Specialization,3 - 6 Months,3,0,1,6,0,0
Prompt Engineering,Vanderbilt University,https://www.coursera.org/specializations/prompt-engineering,4.8,23,60370,English,Beginner,Specialization,1 - 3 Months,3,0,1,6,0,0
IBM Business Analyst,IBM,https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate,4.7,24,0,English,Beginner,Professional Certificate,3 - 6 Months,4,0,0,13,0,0
Foundations of User Experience (UX) Design,Google,https://www.coursera.org/learn/foundations-user-experience-design,4.8,11,1364559,English,Beginner,Course,1 - 4 Weeks,1,0,0,4,11,6
IBM AI Engineering,IBM,https://www.coursera.org/professional-certificates/ai-engineer,4.6,22,109465,English,Intermediate,Professional Certificate,3 - 6 Months,12,3,1,26,0,0
Generative AI for Data Scientists,IBM,https://www.coursera.org/specializations/generative-ai-for-data-scientists,4.7,23,6489,English,Intermediate,Specialization,1 - 3 Months,4,0,0,3,0,0
Generative AI Fundamentals,IBM,https://www.coursera.org/specializations/generative-ai-for-everyone,4.7,23,23933,English,Beginner,Specialization,3 - 6 Months,3,0,0,3,0,0
Generative AI for Data Analysts,IBM,https://www.coursera.org/specializations/generative-ai-for-data-analysts,4.7,23,5091,English,Intermediate,Specialization,1 - 3 Months,4,0,0,2,0,0
Generative AI Leadership & Strategy,Vanderbilt University,https://www.coursera.org/specializations/generative-ai-leadership-strategy,4.8,23,5592,English,Beginner,Specialization,1 - 3 Months,1,0,1,4,0,0
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,4.8,22,612144,English,Mixed,Course,1 - 3 Months,1,0,1,1,0,12
Generative AI for Product Managers,IBM,https://www.coursera.org/specializations/generative-ai-for-product-managers,4.7,23,3240,English,Intermediate,Specialization,1 - 3 Months,2,0,0,4,0,0
Generative AI for Software Developers,IBM,https://www.coursera.org/specializations/generative-ai-for-software-developers,4.7,23,5894,English,Intermediate,Specialization,1 - 3 Months,2,1,0,2,0,0
Meta iOS Developer,Meta,https://www.coursera.org/professional-certificates/meta-ios-developer,4.6,20,45764,English,Beginner,Professional Certificate,3 - 6 Months,3,9,1,30,0,0
Generative AI Assistants,Vanderbilt University,https://www.coursera.org/specializations/generative-ai-assistants,4.8,23,4146,English,Beginner,Specialization,1 - 3 Months,1,0,1,5,0,0
Meta Android Developer,Meta,https://www.coursera.org/professional-certificates/meta-android-developer,4.6,20,51341,English,Beginner,Professional Certificate,3 - 6 Months,5,10,1,32,0,0
ChatGPT: Master Free AI Tools to Supercharge Productivity,Vanderbilt University,https://www.coursera.org/specializations/chatgpt-free-ai-tools-to-excel,4.8,21,5896,English,Beginner,Specialization,3 - 6 Months,1,0,1,4,0,0
Prompt Engineering for Educators,Vanderbilt University,https://www.coursera.org/specializations/prompt-engineering-for-educators,4.8,21,2200,English,Beginner,Specialization,1 - 3 Months,1,0,1,4,0,0
IBM Generative AI for Cybersecurity Professionals,IBM,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals,4.7,23,3446,English,Intermediate,Specialization,1 - 3 Months,2,0,0,1,0,0
Generative AI for Project Managers,IBM,https://www.coursera.org/specializations/generative-ai-for-project-managers,4.7,23,2988,English,Intermediate,Specialization,1 - 3 Months,2,0,0,1,0,0
Generative AI for Business Intelligence (BI) Analysts,IBM,https://www.coursera.org/specializations/generative-ai-for-business-intelligence-analysts,4.7,23,2147,English,Intermediate,Specialization,1 - 3 Months,5,0,0,4,0,0
Generative AI for Data Engineers,IBM,https://www.coursera.org/specializations/generative-ai-for-data-engineers,4.7,23,0,English,Intermediate,Specialization,1 - 3 Months,2,0,0,1,0,0
Generative AI for Human Resources (HR) Professionals,IBM,https://www.coursera.org/specializations/generative-ai-for-human-resources,4.7,23,2851,English,Intermediate,Specialization,1 - 3 Months,2,0,0,2,0,0
Prompt Engineering for Law,Vanderbilt University,https://www.coursera.org/specializations/prompt-engineering-for-law,4.8,21,4985,English,Beginner,Specialization,1 - 3 Months,1,0,1,4,0,0
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier",Vanderbilt University,https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation,4.8,21,1952,English,Beginner,Specialization,3 - 6 Months,1,0,1,4,0,0
ChatGPT for Project Management - Leveraging AI for Success,Vanderbilt University,https://www.coursera.org/specializations/chatgpt-project-management,4.8,21,2950,English,Beginner,Specialization,1 - 3 Months,1,0,1,4,0,0
ChatGPT + Zapier: AI-Powered Email Mastery,Vanderbilt University,https://www.coursera.org/specializations/chatgpt-zapier-email,4.8,21,1548,English,Beginner,Specialization,1 - 3 Months,1,0,1,3,0,0
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,Vanderbilt University,https://www.coursera.org/specializations/chatgpt-excel,4.8,21,0,English,Beginner,Specialization,1 - 3 Months,3,0,1,4,0,0
Master Microsoft Office 365 and Power Platform,Microsoft,https://www.coursera.org/specializations/master-microsoft-office-365-power-platform,4.7,22,3805,English,Beginner,Specialization,3 - 6 Months,6,2,1,27,0,0
Meta Back-End Developer,Meta,https://www.coursera.org/professional-certificates/meta-back-end-developer,4.6,20,144933,English,Beginner,Professional Certificate,3 - 6 Months,8,15,2,41,0,0
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,https://www.coursera.org/professional-certificates/tensorflow-in-practice,4.7,22,210785,English,Intermediate,Professional Certificate,3 - 6 Months,9,3,0,17,0,0
Natural Language Processing,DeepLearning.AI,https://www.coursera.org/specializations/natural-language-processing,4.6,22,136662,English,Intermediate,Specialization,3 - 6 Months,7,2,3,13,0,0
Microsoft 365 Fundamentals,Microsoft,https://www.coursera.org/specializations/microsoft-365-fundamentals,4.7,22,129460,English,Beginner,Specialization,3 - 6 Months,5,2,1,26,0,0
HRCI Human Resource Associate,HRCI,https://www.coursera.org/professional-certificates/hrci-human-resource-associate,4.8,24,73009,English,Beginner,Professional Certificate,3 - 6 Months,1,0,0,10,0,0
Arizona State University TESOL,Arizona State University,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,4.9,24,71223,English,Beginner,Professional Certificate,3 - 6 Months,1,0,0,5,0,0
IBM Product Manager,IBM,https://www.coursera.org/professional-certificates/ibm-product-manager,4.8,24,21953,English,Beginner,Professional Certificate,3 - 6 Months,1,2,0,13,0,0
Business Analytics,University of Pennsylvania,https://www.coursera.org/specializations/business-analytics,4.6,22,192690,English,Beginner,Specialization,3 - 6 Months,4,0,3,33,0,0
IBM Cybersecurity Analyst,IBM,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,4.6,24,219753,English,Beginner,Professional Certificate,3 - 6 Months,6,7,0,20,0,0
Connect and Protect: Networks and Network Security,Google,https://www.coursera.org/learn/networks-and-network-security,4.8,11,307425,English,Beginner,Course,1 - 4 Weeks,1,2,0,3,19,0
Advanced Learning Algorithms,DeepLearning.AI,https://www.coursera.org/learn/advanced-learning-algorithms,4.9,21,312129,English,Beginner,Course,1 - 4 Weeks,5,1,0,10,0,14
IBM Data Warehouse Engineer,IBM,https://www.coursera.org/professional-certificates/data-warehouse-engineering,4.7,22,16635,English,Beginner,Professional Certificate,3 - 6 Months,10,7,1,27,0,0
AI in Education: Leveraging ChatGPT for Teaching,University of Pennsylvania,https://www.coursera.org/learn/wharton-ai-in-education-leveraging-chatgpt-for-teaching,4.9,0,5386,English,Beginner,Course,1 - 4 Weeks,5,0,0,7,0,4
Microsoft Business Analyst,Microsoft,https://www.coursera.org/professional-certificates/microsoft-business-analyst,4.6,22,31525,English,Beginner,Professional Certificate,3 - 6 Months,7,6,0,14,0,0
"BI Foundations with SQL, ETL and Data Warehousing",IBM,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,4.6,24,9553,English,Beginner,Specialization,3 - 6 Months,1,1,0,11,0,0
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,4.5,0,3554,English,Mixed,Course,1 - 3 Months,6,0,2,30,0,14
Data Analysis and Presentation Skills: the PwC Approach,PwC,https://www.coursera.org/specializations/pwc-analytics,4.6,22,162876,English,Beginner,Specialization,3 - 6 Months,4,7,0,25,0,0
IBM IT Support,IBM,https://www.coursera.org/professional-certificates/ibm-technical-support,4.7,25,42838,English,Beginner,Professional Certificate,3 - 6 Months,5,1,0,11,0,0
Google Business Intelligence,Google,https://www.coursera.org/professional-certificates/google-business-intelligence,4.7,11,96851,English,Advanced,Professional Certificate,3 - 6 Months,9,7,2,32,0,0
Meta Database Engineer,Meta,https://www.coursera.org/professional-certificates/meta-database-engineer,4.6,20,60575,English,Beginner,Professional Certificate,3 - 6 Months,0,0,0,1,0,0
Information Technology (IT) and Cloud Fundamentals,IBM,https://www.coursera.org/specializations/it-cloud-fundamentals,4.6,25,12350,English,Beginner,Specialization,3 - 6 Months,4,7,0,19,0,0
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,4.7,11,839437,English,Beginner,Course,1 - 3 Months,1,4,2,10,32,0
Prepare Data for Exploration,Google,https://www.coursera.org/learn/data-preparation,4.8,11,855394,English,Beginner,Course,1 - 3 Months,5,1,0,6,24,5
IBM Project Manager,IBM,https://www.coursera.org/professional-certificates/ibm-project-manager,4.8,24,38314,English,Beginner,Professional Certificate,3 - 6 Months,1,2,0,8,0,0
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,4.9,22,1374794,English,Intermediate,Course,1 - 4 Weeks,6,3,2,12,0,4
Foundations of Positive Psychology,University of Pennsylvania,https://www.coursera.org/specializations/positivepsychology,4.8,22,74527,English,Beginner,Specialization,3 - 6 Months,1,0,0,2,0,0
Digital Marketing,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/digital-marketing,4.7,24,350183,English,Beginner,Specialization,3 - 6 Months,5,0,1,30,0,0
Project Planning: Putting It All Together,Google,https://www.coursera.org/learn/project-planning-google,4.8,11,515070,English,Beginner,Course,1 - 3 Months,1,0,0,10,20,11
Attract and Engage Customers with Digital Marketing,Google,https://www.coursera.org/learn/attract-and-engage-customers,4.8,11,346953,English,Beginner,Course,1 - 4 Weeks,1,0,1,10,11,9
Leading the Modern Day Business,University of Virginia,https://www.coursera.org/specializations/leading-modern-day-business,4.7,22,49867,English,Beginner,Specialization,3 - 6 Months,1,0,0,15,0,0
Meta Marketing Analytics,Meta,https://www.coursera.org/professional-certificates/facebook-marketing-analytics,4.7,20,73766,English,Beginner,Professional Certificate,3 - 6 Months,9,3,1,30,0,0
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,https://www.coursera.org/specializations/tesol,4.9,24,85637,English,Beginner,Specialization,3 - 6 Months,1,0,0,4,0,0
Digital Product Management,University of Virginia,https://www.coursera.org/specializations/uva-darden-digital-product-management,4.7,22,62993,English,Beginner,Specialization,3 - 6 Months,3,2,1,19,0,0
Entrepreneurship,University of Pennsylvania,https://www.coursera.org/specializations/wharton-entrepreneurship,4.8,22,69558,English,Beginner,Specialization,3 - 6 Months,1,0,1,23,0,0
"DevOps, Cloud, and Agile Foundations",IBM,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,4.7,25,15929,English,Beginner,Specialization,3 - 6 Months,1,4,0,13,0,0
Excel Skills for Business,Macquarie University,https://www.coursera.org/specializations/excel,4.9,22,564420,English,Beginner,Specialization,3 - 6 Months,5,1,0,10,0,0
Improve Your English Communication Skills,Georgia Institute of Technology,https://www.coursera.org/specializations/improve-english,4.7,24,654408,English,Beginner,Specialization,3 - 6 Months,1,0,0,4,0,0
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,https://www.coursera.org/specializations/wharton-fintech,4.6,22,48526,English,Beginner,Specialization,3 - 6 Months,3,2,0,25,0,0
Cloud Application Development Foundations,IBM,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,4.6,25,9892,English,Beginner,Specialization,3 - 6 Months,3,7,0,20,0,0
Introduction to Psychology ,Yale University,https://www.coursera.org/learn/introduction-psychology,4.9,22,1412128,English,Beginner,Course,1 - 3 Months,1,0,1,1,0,6
IBM Applied DevOps Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,4.7,24,8044,English,Intermediate,Professional Certificate,3 - 6 Months,2,8,0,17,0,0
The Materiality of ESG Factors,University of Pennsylvania,https://www.coursera.org/specializations/materiality-esg-factors,4.7,22,20551,English,Beginner,Specialization,3 - 6 Months,1,0,1,26,0,0
Microsoft Cloud Support Associate,Microsoft,https://www.coursera.org/professional-certificates/microsoft-cloud-support-associate,4.7,22,5398,English,Beginner,Professional Certificate,3 - 6 Months,2,4,0,6,0,0
Tools of the Trade: Linux and SQL,Google,https://www.coursera.org/learn/linux-and-sql,4.8,11,256715,English,Beginner,Course,1 - 4 Weeks,4,2,0,3,18,3
Microsoft IT Support Specialist,Microsoft,https://www.coursera.org/professional-certificates/microsoft-it-support-specialist,4.7,22,19659,English,Beginner,Professional Certificate,3 - 6 Months,2,3,0,5,0,0
Business Strategy,University of Virginia,https://www.coursera.org/specializations/business-strategy,4.8,22,72487,English,Beginner,Specialization,3 - 6 Months,1,0,0,17,0,0
Certified in Cybersecurity,ISC2,https://www.coursera.org/specializations/certified-in-cybersecurity,4.8,22,16022,English,Beginner,Specialization,3 - 6 Months,1,1,0,7,0,0
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,https://www.coursera.org/professional-certificates/gcp-cloud-architect,4.7,0,119326,English,Intermediate,Professional Certificate,3 - 6 Months,2,6,1,23,0,0
Process Data from Dirty to Clean,Google,https://www.coursera.org/learn/process-data,4.8,11,720137,English,Beginner,Course,1 - 3 Months,6,1,0,9,21,3
"Start the UX Design Process: Empathize, Define, and Ideate",Google,https://www.coursera.org/learn/start-ux-design-process,4.8,11,541265,English,Beginner,Course,1 - 4 Weeks,1,1,0,5,11,4
Agile Project Management,Google,https://www.coursera.org/learn/agile-project-management,4.8,11,550288,English,Beginner,Course,1 - 4 Weeks,1,1,1,11,16,5
Introduction to Statistics,Stanford University,https://www.coursera.org/learn/stanford-statistics,4.6,22,522072,English,Beginner,Course,1 - 3 Months,4,0,3,10,0,13
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,4.7,0,109405,English,Intermediate,Professional Certificate,3 - 6 Months,4,6,0,20,0,0
Regulatory Compliance,University of Pennsylvania,https://www.coursera.org/specializations/regulatory-compliance,4.8,22,34062,English,Intermediate,Specialization,3 - 6 Months,2,0,2,15,0,0
Cybersecurity Fundamentals,IBM,https://www.coursera.org/specializations/cybersecurity-fundamentals,4.8,24,2016,English,Beginner,Specialization,3 - 6 Months,1,1,0,6,0,0
Meta Data Analyst,Meta,https://www.coursera.org/professional-certificates/meta-data-analyst,4.7,20,22891,English,Beginner,Professional Certificate,3 - 6 Months,9,3,1,21,0,0
